FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,sexe
Maiara Amanajas dos Santos,5' 5",115 lbs.,--,Southpaw,1987-07-11,F
Chris Amarante,--,185 lbs.,--,,,M
Jimmy Ambriz,6' 2",315 lbs.,--,Southpaw,1970-01-26,M
JJ Ambrose,5' 10",170 lbs.,--,Orthodox,,M
Alen Amedovski,5' 10",185 lbs.,74",Orthodox,1988-04-06,M
Makwan Amirkhani,5' 10",145 lbs.,72",Southpaw,1988-11-08,M
Bertrand Amoussou,5' 8",190 lbs.,--,Orthodox,,M
Karl Amoussou,5' 11",185 lbs.,--,Orthodox,1985-11-21,M
Eryk Anders,6' 1",185 lbs.,75",Southpaw,1987-04-21,M
Matt Andersen,6' 2",230 lbs.,--,Southpaw,1971-05-29,M
Andy Anderson,5' 6",240 lbs.,--,,1974-07-16,M
Lowell Anderson,5' 6",160 lbs.,--,Orthodox,,M
Corey Anderson,6' 3",205 lbs.,79",Orthodox,1989-09-22,M
Derek Anderson,6' 0",155 lbs.,--,,1990-02-02,M
Megan Anderson,6' 0",145 lbs.,72",Orthodox,1990-02-11,F
Alex Andrade,5' 11",200 lbs.,--,Orthodox,1974-05-14,M
Jessica Andrade,5' 1",125 lbs.,62",Orthodox,1991-09-25,F
Viscardi Andrade,5' 11",170 lbs.,75",Orthodox,1984-03-08,M
Jermaine Andre,5' 7",200 lbs.,--,Orthodox,,M
Dylan Andrews,6' 1",185 lbs.,74",Switch,1979-11-15,M
Reese Andy,6' 0",205 lbs.,--,Orthodox,1973-03-31,M
Julius Anglickas,6' 3",205 lbs.,--,Orthodox,1991-07-23,M
Collin Anglin,5' 9",145 lbs.,71",Orthodox,1993-02-20,M
Chad Anheliger,5' 6",135 lbs.,64",Orthodox,1986-12-01,M
Yoji Anjo,5' 11",205 lbs.,--,Orthodox,1967-03-28,M
Magomed Ankalaev,6' 3",205 lbs.,75",Orthodox,1992-06-02,M
Gadzhimurad Antigulov,5' 11",205 lbs.,70",Orthodox,1987-02-09,M
Adam Antolin,5' 5",125 lbs.,63",Orthodox,1982-02-28,M
Angelo Antonio,--,205 lbs.,--,Orthodox,,M
Azunna Anyanwu,6' 1",251 lbs.,--,Orthodox,1981-08-05,M
Shinsho Anzai,5' 7",170 lbs.,70",Orthodox,1985-12-01,M
Shinya Aoki,5' 11",154 lbs.,--,Southpaw,1983-05-09,M
Aoriqileng,5' 7",125 lbs.,69",Orthodox,1993-06-25,M
Josh Appelt,5' 10",255 lbs.,--,Southpaw,1983-06-19,M
Erik Apple,6' 0",170 lbs.,--,Orthodox,1977-08-26,M
Kenji Arai,5' 10",145 lbs.,--,Southpaw,1979-10-05,M
Romie Aram,5' 10",170 lbs.,--,Orthodox,1977-12-02,M
Felipe Arantes,5' 8",135 lbs.,73",Orthodox,1988-02-09,M
Igor Araujo,6' 1",170 lbs.,77",Orthodox,1980-12-06,M
Viviane Araujo,5' 4",125 lbs.,68",Orthodox,1986-11-21,F
Julio Arce,5' 7",145 lbs.,70",Southpaw,1989-10-27,M
Art Arciniega,5' 8",145 lbs.,--,,1981-10-15,M
Tristan Arenal,--,155 lbs.,--,,,M
Hashem Arkhagha,6' 2",185 lbs.,75",Orthodox,1989-09-11,M
Andrei Arlovski,6' 3",240 lbs.,77",Orthodox,1979-02-04,M
Joey Armstrong,--,--,--,,,M
Austin Arnett,6' 0",145 lbs.,72",Orthodox,1991-10-22,M
Ricardo Arona,5' 11",205 lbs.,--,Orthodox,1978-07-17,M
Chalid Arrab,5' 11",205 lbs.,--,Orthodox,1975-05-28,M
Akbarh Arreola,5' 10",155 lbs.,71",Southpaw,1983-01-14,M
Matt Arroyo,5' 10",170 lbs.,72",Orthodox,1982-09-01,M
Antonio Arroyo,6' 3",185 lbs.,73",Orthodox,1989-07-01,M
Gilles Arsene,5' 9",190 lbs.,--,Southpaw,,M
Veta Arteaga,5' 7",125 lbs.,--,,,F
Cesar Arzamendia,5' 11",155 lbs.,--,Orthodox,1991-01-31,M
Teddy Ash,6' 1",185 lbs.,73",Switch,1989-12-27,M
Arman Ashimov,5' 6",125 lbs.,--,,1992-01-14,M
Askar Askar,5' 7",145 lbs.,69",Orthodox,1994-08-19,M
Askar Askarov,5' 6",125 lbs.,67",Orthodox,1992-10-09,M
Cyril Asker,6' 0",247 lbs.,74",Orthodox,1985-12-24,M
Khusein Askhabov,5' 8",145 lbs.,--,,1995-02-13,M
Scott Askham,6' 3",185 lbs.,75",Southpaw,1988-05-20,M
Ben Askren,5' 11",170 lbs.,73",Orthodox,1984-07-18,M
Ibo Aslan,6' 3",205 lbs.,--,,1996-04-23,M
Tom Aspinall,6' 5",256 lbs.,78",Orthodox,1993-04-11,M
Bruno Assis,6' 2",185 lbs.,--,Orthodox,1992-05-23,M
Junior Assuncao,5' 9",145 lbs.,72",Orthodox,1981-06-24,M
Raphael Assuncao,5' 5",135 lbs.,66",Orthodox,1982-07-19,M
Bazigit Atajev,6' 1",230 lbs.,--,Orthodox,,M
Rich Attonito,5' 10",170 lbs.,72",Orthodox,1977-06-16,M
Olivier Aubin-Mercier,5' 9",155 lbs.,70",Southpaw,1989-02-23,M
Pat Audinwood,6' 0",155 lbs.,--,Orthodox,1986-04-16,M
Jose Augusto,6' 3",251 lbs.,--,,1992-03-28,M
Marcus Aurelio,5' 10",155 lbs.,74",Orthodox,1973-08-18,M
David Avellan,5' 9",185 lbs.,--,Orthodox,,M
Blas Avena,6' 0",170 lbs.,74",Orthodox,1983-06-30,M
Levi Avera,6' 1",170 lbs.,--,,1982-05-17,M
Anthony Avila,5' 7",145 lbs.,--,,1988-12-29,M
Chris Avila,5' 10",145 lbs.,--,Orthodox,1993-01-16,M
Julia Avila,5' 7",135 lbs.,68",Orthodox,1988-05-11,F
Saad Awad,5' 11",155 lbs.,--,,1983-06-07,M
Javy Ayala,6' 1",265 lbs.,--,,1988-08-20,M
Jessin Ayari,6' 0",155 lbs.,73",Orthodox,1992-05-31,M
Abu Azaitar,5' 9",185 lbs.,76",Orthodox,1986-03-10,M
Ottman Azaitar,5' 8",155 lbs.,71",Switch,1990-02-20,M
Luiz Azeredo,5' 9",154 lbs.,--,Orthodox,1976-06-10,M
Luciano Azevedo,6' 3",161 lbs.,--,Orthodox,1981-06-25,M
Hunter Azure,5' 8",145 lbs.,69",Orthodox,1992-03-02,M
Niklas Backstrom,6' 1",145 lbs.,--,Orthodox,1989-08-22,M
Seth Baczynski,6' 3",170 lbs.,75",Orthodox,1981-10-26,M
Ryan Bader,6' 2",205 lbs.,74",Orthodox,1983-06-07,M
Izabela Badurek,5' 5",115 lbs.,--,Orthodox,1991-07-11,F
Miguel Baeza,6' 2",170 lbs.,74",Orthodox,1992-08-23,M
Ali Bagautinov,5' 4",125 lbs.,65",Orthodox,1985-06-10,M
Mehdi Baghdad,6' 1",155 lbs.,--,Orthodox,1985-04-13,M
Melsik Baghdasaryan,5' 9",145 lbs.,70",Southpaw,1992-01-28,M
Siyar Bahadurzada,5' 11",170 lbs.,73",Orthodox,1984-04-17,M
Ignacio Bahamondes,6' 3",155 lbs.,75",Orthodox,1997-08-27,M
Shamar Bailey,5' 9",155 lbs.,75",Southpaw,1982-09-22,M
Jordan Bailey,5' 9",145 lbs.,--,,,M
Scott Baker,6' 0",210 lbs.,--,,,M
Bryan Baker,6' 3",185 lbs.,--,Orthodox,1985-10-13,M
Jin Bala,5' 9",155 lbs.,--,,,M
Oluwale Bamgbose,5' 11",185 lbs.,78",Switch,1987-08-04,M
Stephen Banaszak,6' 0",145 lbs.,--,,1990-12-07,M
Marcin Bandel,5' 10",155 lbs.,--,Orthodox,1989-10-10,M
Humberto Bandenay,5' 11",145 lbs.,71",Southpaw,1994-09-04,M
Tae Hyun Bang,5' 9",155 lbs.,71",Switch,1983-04-15,M
Yohan Banks,--,--,--,,,M
Antonio Banuelos,5' 5",135 lbs.,63",Orthodox,1979-09-23,M
Renan Barao,5' 6",145 lbs.,70",Orthodox,1987-01-31,M
Junior Barata,5' 10",170 lbs.,--,Orthodox,1982-01-25,M
Maycee Barber,5' 5",125 lbs.,65",Switch,1998-05-18,F
Bryan Barberena,6' 0",170 lbs.,72",Southpaw,1989-05-03,M
Edson Barboza,5' 11",145 lbs.,75",Orthodox,1986-01-21,M
Raoni Barcelos,5' 7",135 lbs.,67",Orthodox,1987-05-01,M
Daniel Barez,5' 6",125 lbs.,66",Orthodox,1988-12-10,M
Luke Barnatt,6' 6",185 lbs.,77",Orthodox,1988-04-13,M
James Barnes,5' 8",135 lbs.,71",Orthodox,1982-05-28,M
Nick Barnes,5' 11",170 lbs.,--,,,M
Shonte Barnes,5' 11",185 lbs.,76",Southpaw,1987-02-09,M
Josh Barnett,6' 3",250 lbs.,78",Orthodox,1977-11-10,M
Chris Barnett,5' 9",265 lbs.,75",Orthodox,1986-06-14,M
Chris Barnhizer,--,--,--,,,M
David Baron,5' 6",155 lbs.,--,Switch,1973-02-15,M
Phil Baroni,5' 9",170 lbs.,72",Orthodox,1976-04-16,M
Dan Barrera,5' 9",170 lbs.,--,Orthodox,1980-12-23,M
Carlos Barreto,6' 4",230 lbs.,--,Orthodox,,M
Jose Barreto,--,185 lbs.,--,Southpaw,,M
Peter Barrett,5' 10",145 lbs.,73",Southpaw,1986-08-10,M
Marc-Andre Barriault,6' 1",185 lbs.,74",Orthodox,1990-02-18,M
David Barrios,5' 6",145 lbs.,--,,,M
Alexandre Barros,5' 9",170 lbs.,--,Southpaw,1976-11-19,M
Ricardo Barros,6' 1",205 lbs.,--,,1976-03-22,M
Francimar Barroso,6' 1",205 lbs.,75",Orthodox,1980-02-28,M
Pat Barry,5' 11",235 lbs.,74",Orthodox,1979-07-07,M
Dean Barry,--,155 lbs.,--,,1992-03-07,M
Enrique Barzola,5' 7",145 lbs.,70",Orthodox,1989-04-28,M
Javid Basharat,5' 9",135 lbs.,69",Orthodox,1995-09-07,M
Stephen Bass,5' 9",145 lbs.,--,Orthodox,1982-11-14,M
Sean Bassett,--,155 lbs.,--,,,M
Ryan Bastianelli,5' 5",135 lbs.,--,,,M
Shayna Baszler,5' 7",135 lbs.,--,Orthodox,1980-08-08,F
Michel Batista,6' 3",260 lbs.,--,Orthodox,1984-04-20,M
Bryan Battle,6' 1",185 lbs.,77",Orthodox,1994-09-21,M
Alan Baudot,6' 3",243 lbs.,79",Orthodox,1988-02-01,M
Mario Bautista,5' 9",135 lbs.,69",Switch,1993-07-01,M
Chris Beal,5' 7",125 lbs.,69",Orthodox,1985-08-06,M
Rudy Bears,5' 11",170 lbs.,--,Southpaw,,M
Salvador Becerra,5' 9",155 lbs.,--,,,M
Ariel Beck,5' 6",125 lbs.,66",Southpaw,1990-09-16,F
Jeff Bedard,5' 6",145 lbs.,--,Orthodox,1970-02-06,M
Eric Bedard,6' 2",239 lbs.,--,,1984-09-11,M
Johnny Bedford,5' 10",135 lbs.,71",Orthodox,1983-01-06,M
Chase Beebe,5' 7",135 lbs.,67",Orthodox,1985-03-29,M
Lyle Beerbohm,5' 10",155 lbs.,--,Southpaw,1979-02-05,M
Mirsad Bektic,5' 8",145 lbs.,70",Orthodox,1991-02-16,M
Diana Belbita,5' 7",125 lbs.,68",Orthodox,1996-06-26,F
Alan Belcher,6' 2",185 lbs.,75",Orthodox,1984-04-24,M
Vitor Belfort,6' 0",185 lbs.,74",Southpaw,1977-04-01,M
Danilo Belluardo,6' 0",155 lbs.,74",Southpaw,1994-07-21,M
Joey Beltran,6' 1",185 lbs.,75",Orthodox,1981-12-08,M
Marco Beltran,5' 8",125 lbs.,69",Orthodox,1986-05-18,M
Joseph Benavidez,5' 4",125 lbs.,65",Southpaw,1984-07-31,M
Mike Bencic,6' 0",215 lbs.,--,Orthodox,,M
Dave Beneteau,6' 2",250 lbs.,--,Orthodox,,M
Karla Benitez,5' 3",113 lbs.,--,,,F
Gabriel Benitez,5' 8",155 lbs.,71",Southpaw,1988-06-15,M
Charles Bennett,5' 8",155 lbs.,--,Orthodox,1979-11-23,M
Josh Bennett,6' 4",259 lbs.,--,Orthodox,,M
DeAnna Bennett,5' 4",125 lbs.,68",Orthodox,1984-11-18,F
Lance Benoist,5' 11",170 lbs.,72",Southpaw,1988-08-26,M
Joe Benoit,5' 9",170 lbs.,--,Orthodox,1982-03-12,M
Ryan Benoit,5' 5",125 lbs.,68",Orthodox,1989-08-25,M
Pat Benson,5' 9",155 lbs.,--,,,M
Len Bentley,5' 9",155 lbs.,--,,1982-11-30,M
Steve Berger,5' 11",170 lbs.,--,Orthodox,1973-05-20,M
Kenneth Bergh,6' 2",205 lbs.,74",Orthodox,1989-06-26,M
Bret Bergmark,5' 9",170 lbs.,--,,1973-11-24,M
Keith Berish,6' 0",205 lbs.,--,Orthodox,1985-11-14,M
Dennis Bermudez,5' 6",155 lbs.,66",Orthodox,1986-12-13,M
Manny Bermudez,5' 10",145 lbs.,71",Orthodox,1994-07-16,M
Talita Bernardo,5' 4",135 lbs.,68",Orthodox,1987-03-04,F
Dave Berry,--,--,--,,,M
Keith Berry,6' 1",185 lbs.,--,,1987-10-25,M
Dieusel Berto,5' 9",200 lbs.,--,,,M
Edson Berto,5' 6",155 lbs.,--,Orthodox,1983-07-05,M
Allen Berube,5' 8",155 lbs.,--,Orthodox,1974-08-25,M
Anton Berzin,6' 2",205 lbs.,--,Orthodox,1989-09-29,M
Scott Bessac,6' 4",245 lbs.,--,,,M
Matt Bessette,5' 10",145 lbs.,70",Orthodox,1984-12-28,M
Khadzhi Bestaev,6' 6",185 lbs.,76",,1988-07-16,M
Fernando Bettega,--,170 lbs.,--,,1980-03-10,M
Arjan Bhullar,6' 1",245 lbs.,75",Orthodox,1986-05-13,M
KB Bhullar,6' 4",185 lbs.,78",Switch,1991-10-12,M
Bibulatov Magomed,5' 5",125 lbs.,65",Orthodox,1988-08-22,M
David Bielkheden,5' 10",155 lbs.,71",Orthodox,1979-06-06,M
Jonas Bilharinho,5' 11",145 lbs.,75",Switch,1990-05-22,M
Jeremiah Billington,5' 9",205 lbs.,--,Orthodox,1977-11-14,M
Scott Bills,5' 10",170 lbs.,--,,,M
Anthony Birchak,5' 8",135 lbs.,69",Orthodox,1986-05-16,M
Chris Birchler,6' 3",205 lbs.,--,Switch,1987-06-05,M
Michael Bisping,6' 1",185 lbs.,75",Orthodox,1979-02-28,M
Amaury Bitetti,5' 9",185 lbs.,--,Orthodox,,M
Caio Bittencourt,6' 0",185 lbs.,75",Orthodox,1991-05-22,M
Simon Biyong,--,205 lbs.,--,,1991-04-05,M
Jan Blachowicz,6' 2",205 lbs.,78",Orthodox,1983-02-24,M
Jason Black,5' 8",155 lbs.,--,Orthodox,1972-07-15,M
Brad Blackburn,5' 10",170 lbs.,73",Orthodox,1977-05-25,M
Jason Blackford,--,--,--,,,M
Tom Blackledge,--,205 lbs.,--,Orthodox,,M
Sherrard Blackledge,5' 11",155 lbs.,75",Orthodox,1993-08-16,M
Erin Blanchfield,5' 4",125 lbs.,66",Orthodox,1999-05-04,F
Maximo Blanco,5' 8",145 lbs.,71",Orthodox,1983-10-16,M
David Blanco,5' 7",145 lbs.,--,,,M
Curtis Blaydes,6' 4",265 lbs.,80",Orthodox,1991-02-18,M
Arlene Blencowe,5' 5",145 lbs.,--,,1983-04-11,F
Byron Bloodworth,5' 8",135 lbs.,--,Orthodox,1983-08-16,M
Dashawn Boatwright,6' 0",205 lbs.,--,Orthodox,1988-02-29,M
Dan Bobish,6' 2",345 lbs.,--,Southpaw,1970-01-26,M
Mark Bocek,5' 8",155 lbs.,75",Orthodox,1981-10-24,M
Kyle Bochniak,5' 7",145 lbs.,70",Orthodox,1987-02-05,M
James Bochnovic,6' 4",205 lbs.,81",Orthodox,1989-02-13,M
Jeremy Boczulak,--,--,--,,,M
Tim Boetsch,6' 0",185 lbs.,74",Orthodox,1981-01-28,M
Galore Bofando,5' 11",170 lbs.,72",Switch,1982-05-22,M
Jay Bogan,--,145 lbs.,--,,,M
Roman Bogatov,5' 8",155 lbs.,73",Orthodox,1990-12-15,M
Derek Bohi,6' 4",260 lbs.,--,,,M
Jerry Bohlander,5' 11",199 lbs.,--,Orthodox,1974-02-12,M
Mandy Bohm,5' 7",125 lbs.,71",Orthodox,1989-07-30,F
Kotetsu Boku,5' 9",154 lbs.,--,Orthodox,1977-05-27,M
Kyle Bolt,6' 2",185 lbs.,--,,,M
Denys Bondar,5' 6",125 lbs.,69",Orthodox,1992-06-27,M
Luc Bondole,6' 2",205 lbs.,--,,,M
Tony Bonello,6' 2",185 lbs.,--,,,M
Jesse Bongfeldt,6' 0",185 lbs.,--,Orthodox,1980-08-28,M
Marcos Bonilla,5' 10",145 lbs.,--,,,M
Stephan Bonnar,6' 4",205 lbs.,79",Orthodox,1977-04-04,M
Rogerio Bontorin,5' 5",125 lbs.,67",Orthodox,1992-04-25,M
Ray Borg,5' 4",135 lbs.,63",Orthodox,1993-08-04,M
Igor Borisov,6' 0",235 lbs.,--,Orthodox,,M
Calen Born,5' 8",170 lbs.,72",Switch,1988-05-24,M
Caio Borralho,5' 10",205 lbs.,75",Southpaw,1993-01-16,M
Viacheslav Borshchev,5' 11",155 lbs.,69",Orthodox,1992-01-08,M
Tanner Boser,6' 2",255 lbs.,75",Orthodox,1991-08-02,M
Steve Bosse,5' 11",205 lbs.,72",Orthodox,1981-07-29,M
Marcus Bossett,6' 1",215 lbs.,--,Orthodox,,M
Chris Bostick,--,--,--,,,M
Poliana Botelho,5' 8",115 lbs.,67",Orthodox,1988-12-15,F
Francois Botha,6' 2",260 lbs.,--,Orthodox,1968-09-28,M
Gregory Bouchelaghem,6' 2",183 lbs.,--,Switch,,M
Roy Boughton,6' 0",205 lbs.,--,,,M
Rich Bouphanouvong,5' 7",170 lbs.,--,,,M
Mike Bourke,6' 0",275 lbs.,--,Orthodox,,M
Jess Bouscal,--,155 lbs.,--,,,M
Tai Bowden,5' 11",230 lbs.,--,,,M
Melton Bowen,6' 0",225 lbs.,--,Orthodox,1969-07-16,M
Kyron Bowen,6' 3",185 lbs.,73",Orthodox,1993-12-22,M
Brian Bowles,5' 7",135 lbs.,70",Orthodox,1980-06-22,M
Roger Bowling,5' 9",155 lbs.,68",Orthodox,1982-12-05,M
Blake Bowman,6' 2",170 lbs.,--,,,M
Ashe Bowman,5' 9",155 lbs.,--,,1976-11-17,M
Colley Bradford,5' 7",145 lbs.,--,,,M
Kyle Bradley,5' 9",155 lbs.,71",Orthodox,1982-08-19,M
Paul Bradley,5' 9",170 lbs.,--,Orthodox,1983-06-13,M
Sean Brady,5' 10",170 lbs.,72",Orthodox,1992-11-23,M
Ebenezer Fontes Braga,6' 0",199 lbs.,--,Orthodox,1969-04-14,M
Ramiz Brahimaj,5' 10",170 lbs.,72",Orthodox,1992-11-17,M
Joe Brammer,5' 8",155 lbs.,--,Orthodox,1983-08-23,M
David Branch,6' 1",185 lbs.,78",Orthodox,1981-09-26,M
Diego Brandao,5' 7",145 lbs.,64",Orthodox,1987-05-27,M
Michael Bravo,--,155 lbs.,--,,,M
Martin Bravo,5' 8",145 lbs.,71",Southpaw,1993-09-21,M
Mike Breeden,5' 10",155 lbs.,70",Orthodox,1989-04-21,M
Tom Breese,6' 3",185 lbs.,73",Southpaw,1991-09-26,M
Chris Brennan,5' 8",170 lbs.,--,Orthodox,1971-10-12,M
Charlie Brenneman,5' 10",155 lbs.,70",Orthodox,1981-02-09,M
Robert Breslin,5' 11",155 lbs.,--,,,M
Mack Brewer,--,205 lbs.,--,,,M
Marcos Brigagao,6' 3",205 lbs.,76",Southpaw,1996-04-01,M
Jason Brilz,5' 11",205 lbs.,71",Orthodox,1975-07-07,M
Marcus Brimage,5' 4",135 lbs.,71",Southpaw,1985-04-06,M
Aaron Brink,6' 3",205 lbs.,--,Orthodox,1974-11-12,M
Henry Briones,5' 8",135 lbs.,69",Orthodox,1980-10-22,M
Marcelo Brito,6' 1",170 lbs.,--,Orthodox,1977-11-27,M
Joanderson Brito,5' 8",145 lbs.,72",Orthodox,1995-02-11,M
Antwain Britt,6' 1",205 lbs.,77",,1978-05-09,M
Drew Brokenshire,--,--,--,,,M
Mike Bronzoulis,6' 0",155 lbs.,--,,1979-01-05,M
Jonathan Brookins,6' 0",145 lbs.,74",Southpaw,1985-08-13,M
Will Brooks,5' 10",155 lbs.,72",Orthodox,1986-10-08,M
Jarred Brooks,5' 3",125 lbs.,62",Switch,1993-05-02,M
Rob Broughton,6' 2",265 lbs.,74",Orthodox,1983-03-03,M
Lee Brousseau,6' 1",205 lbs.,--,,1974-10-04,M
Matt Brown,6' 0",170 lbs.,75",Orthodox,1981-01-10,M
Mike Brown,5' 6",145 lbs.,70",Orthodox,1975-09-08,M
Dominic Brown,5' 11",190 lbs.,--,,1982-06-04,M
Todd Brown,5' 11",205 lbs.,--,Orthodox,1976-12-13,M
Terrell Brown,--,185 lbs.,--,,1983-04-13,M
Chris Brown,--,170 lbs.,--,,,M
Frederick Brown,6' 0",235 lbs.,--,,,M
Randy Brown,6' 3",170 lbs.,78",Orthodox,1990-07-08,M
Damien Brown,5' 10",155 lbs.,68",Orthodox,1984-12-25,M
